text,label
Payment should be sent to 2677930362,O O O O O B-BANK
Please verify 3290672,O O B-BANK
Bank account 6312788358 received the funds,O O B-BANK O O O
Bank account 9846372992 received the funds,O O B-BANK O O O
Deposit to 5260444005 completed,O O B-BANK O
The recipient's account is 1973094146,O O O O B-BANK
Please verify 2398790722,O O B-BANK
Please verify 5862824797,O O B-BANK
Account number 3471089127 is active,O O B-BANK O O
Transfer the money to 0165458409,O O O O B-BANK
The account 9385610126 is closed,O O B-BANK O O
Bank account 153356171 received the funds,O O B-BANK O O O
Payment should be sent to 41559472,O O O O O B-BANK
Please verify 8563512,O O B-BANK
Funds were transferred from 7730550680,O O O O B-BANK
The account 9745439823 is closed,O O B-BANK O O
Bank account 7939786147 received the funds,O O B-BANK O O O
Funds were transferred from 548052423,O O O O B-BANK
Payment should be sent to 2435045051,O O O O O B-BANK
The account 7936470475 is closed,O O B-BANK O O
Funds were transferred from 529148149,O O O O B-BANK
Transfer the money to 5892782,O O O O B-BANK
Deposit to 17465314 completed,O O B-BANK O
Transfer the money to 7591817,O O O O B-BANK
The account 1922200693 is closed,O O B-BANK O O
Bank account 1799812727 received the funds,O O B-BANK O O O
Transfer the money to 44796461,O O O O B-BANK
Account number 8349742013 is active,O O B-BANK O O
Bank account 7782331759 received the funds,O O B-BANK O O O
Funds were transferred from 6037262331,O O O O B-BANK
Account number 3730260172 is active,O O B-BANK O O
Bank account 1479509646 received the funds,O O B-BANK O O O
Bank account 7646536549 received the funds,O O B-BANK O O O
Account number 1821970 is active,O O B-BANK O O
The account 37574100 is closed,O O B-BANK O O
Account number 2202880970 is active,O O B-BANK O O
Please verify 8556484376,O O B-BANK
Transfer the money to 4525566653,O O O O B-BANK
Please verify 4199372527,O O B-BANK
My bank account is 5769415,O O O O B-BANK
Deposit to 2991376 completed,O O B-BANK O
The account 1671586628 is closed,O O B-BANK O O
Account number 2731567564 is active,O O B-BANK O O
Transfer the money to 049185148,O O O O B-BANK
The account 8198255496 is closed,O O B-BANK O O
Funds were transferred from 5196348318,O O O O B-BANK
The account 15638878 is closed,O O B-BANK O O
The account 4301859427 is closed,O O B-BANK O O
The recipient's account is 94413450,O O O O B-BANK
Funds were transferred from 1558445,O O O O B-BANK
Transfer the money to 715182626,O O O O B-BANK
Please verify 9518645995,O O B-BANK
Transfer the money to 17236982,O O O O B-BANK
The recipient's account is 7384967223,O O O O B-BANK
The account 74867232 is closed,O O B-BANK O O
Account number 2150127445 is active,O O B-BANK O O
Deposit to 4961670349 completed,O O B-BANK O
The account 8929748431 is closed,O O B-BANK O O
Please verify 4778430,O O B-BANK
Bank account 5561216 received the funds,O O B-BANK O O O
